name,chip,exptime,jd,date,filename,note,nimages
D22571-120-m-1.gz,1,120,2459651.089081333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22571-120-m-1.fits.gz,good,3.0
D22571-120-m-2.gz,2,120,2459651.089081333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22571-120-m-2.fits.gz,good,3.0
D22571-120-m-3.gz,3,120,2459651.089081333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22571-120-m-3.fits.gz,good,3.0
D22571-120-m-4.gz,4,120,2459651.089081333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22571-120-m-4.fits.gz,good,3.0
D22571-120-m-5.gz,5,120,2459651.089081333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22571-120-m-5.fits.gz,good,3.0
D22571-120-m-6.gz,6,120,2459651.089081333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22571-120-m-6.fits.gz,good,3.0
D22571-120-m-7.gz,7,120,2459651.089081333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22571-120-m-7.fits.gz,good,3.0
D22571-120-m-8.gz,8,120,2459651.089081333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22571-120-m-8.fits.gz,good,3.0
D22571-120-m-9.gz,9,120,2459651.089081333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22571-120-m-9.fits.gz,good,3.0
D22571-120-m-10.gz,10,120,2459651.089081333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22571-120-m-10.fits.gz,good,3.0
D22570-60-m-1.gz,1,60,2459651.085043333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22570-60-m-1.fits.gz,good,3.0
D22570-60-m-2.gz,2,60,2459651.085043333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22570-60-m-2.fits.gz,good,3.0
D22570-60-m-3.gz,3,60,2459651.085043333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22570-60-m-3.fits.gz,good,3.0
D22570-60-m-4.gz,4,60,2459651.085043333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22570-60-m-4.fits.gz,good,3.0
D22570-60-m-5.gz,5,60,2459651.085043333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22570-60-m-5.fits.gz,good,3.0
D22570-60-m-6.gz,6,60,2459651.085043333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22570-60-m-6.fits.gz,good,3.0
D22570-60-m-7.gz,7,60,2459651.085043333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22570-60-m-7.fits.gz,good,3.0
D22570-60-m-8.gz,8,60,2459651.085043333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22570-60-m-8.fits.gz,good,3.0
D22570-60-m-9.gz,9,60,2459651.085043333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22570-60-m-9.fits.gz,good,3.0
D22570-60-m-10.gz,10,60,2459651.085043333,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22570-60-m-10.fits.gz,good,3.0
D22569-0-m-1.gz,1,0,2459651.083506,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22569-0-m-1.fits.gz,bad,1.0
D22569-0-m-2.gz,2,0,2459651.083506,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22569-0-m-2.fits.gz,bad,1.0
D22569-0-m-3.gz,3,0,2459651.083506,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22569-0-m-3.fits.gz,bad,1.0
D22569-0-m-4.gz,4,0,2459651.083506,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22569-0-m-4.fits.gz,bad,1.0
D22569-0-m-5.gz,5,0,2459651.083506,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22569-0-m-5.fits.gz,bad,1.0
D22569-0-m-6.gz,6,0,2459651.083506,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22569-0-m-6.fits.gz,bad,1.0
D22569-0-m-7.gz,7,0,2459651.083506,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22569-0-m-7.fits.gz,bad,1.0
D22569-0-m-8.gz,8,0,2459651.083506,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22569-0-m-8.fits.gz,bad,1.0
D22569-0-m-9.gz,9,0,2459651.083506,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22569-0-m-9.fits.gz,bad,1.0
D22569-0-m-10.gz,10,0,2459651.083506,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22569-0-m-10.fits.gz,bad,1.0
D22568-300-m-1.gz,1,300,2459650.8956346666,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22568-300-m-1.fits.gz,good,3.0
D22568-300-m-2.gz,2,300,2459650.8956346666,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22568-300-m-2.fits.gz,good,3.0
D22568-300-m-3.gz,3,300,2459650.8956346666,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22568-300-m-3.fits.gz,good,3.0
D22568-300-m-4.gz,4,300,2459650.8956346666,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22568-300-m-4.fits.gz,good,3.0
D22568-300-m-5.gz,5,300,2459650.8956346666,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22568-300-m-5.fits.gz,good,3.0
D22568-300-m-6.gz,6,300,2459650.8956346666,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22568-300-m-6.fits.gz,good,3.0
D22568-300-m-7.gz,7,300,2459650.8956346666,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22568-300-m-7.fits.gz,good,3.0
D22568-300-m-8.gz,8,300,2459650.8956346666,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22568-300-m-8.fits.gz,good,3.0
D22568-300-m-9.gz,9,300,2459650.8956346666,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22568-300-m-9.fits.gz,good,3.0
D22568-300-m-10.gz,10,300,2459650.8956346666,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22568-300-m-10.fits.gz,good,3.0
D22567-0-m-1.gz,1,0,2459650.891324,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22567-0-m-1.fits.gz,bad,1.0
D22567-0-m-2.gz,2,0,2459650.891324,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22567-0-m-2.fits.gz,bad,1.0
D22567-0-m-3.gz,3,0,2459650.891324,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22567-0-m-3.fits.gz,bad,1.0
D22567-0-m-4.gz,4,0,2459650.891324,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22567-0-m-4.fits.gz,bad,1.0
D22567-0-m-5.gz,5,0,2459650.891324,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22567-0-m-5.fits.gz,bad,1.0
D22567-0-m-6.gz,6,0,2459650.891324,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22567-0-m-6.fits.gz,bad,1.0
D22567-0-m-7.gz,7,0,2459650.891324,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22567-0-m-7.fits.gz,bad,1.0
D22567-0-m-8.gz,8,0,2459650.891324,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22567-0-m-8.fits.gz,bad,1.0
D22567-0-m-9.gz,9,0,2459650.891324,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22567-0-m-9.fits.gz,bad,1.0
D22567-0-m-10.gz,10,0,2459650.891324,        2022-03-12,/home/phys/astronomy/rri38/moa/data/master/dark/D22567-0-m-10.fits.gz,bad,1.0
D22566-75-m-1.gz,1,75,2459650.1034016665,        2022-03-11,/home/phys/astronomy/rri38/moa/data/master/dark/D22566-75-m-1.fits.gz,good,3.0
D22566-75-m-2.gz,2,75,2459650.103401667,        2022-03-11,/home/phys/astronomy/rri38/moa/data/master/dark/D22566-75-m-2.fits.gz,good,3.0
D22566-75-m-3.gz,3,75,2459650.1034016665,        2022-03-11,/home/phys/astronomy/rri38/moa/data/master/dark/D22566-75-m-3.fits.gz,good,3.0
D22566-75-m-4.gz,4,75,2459650.1034016665,        2022-03-11,/home/phys/astronomy/rri38/moa/data/master/dark/D22566-75-m-4.fits.gz,good,3.0
D22566-75-m-5.gz,5,75,2459650.1034016665,        2022-03-11,/home/phys/astronomy/rri38/moa/data/master/dark/D22566-75-m-5.fits.gz,good,3.0
D22566-75-m-6.gz,6,75,2459650.1034016665,        2022-03-11,/home/phys/astronomy/rri38/moa/data/master/dark/D22566-75-m-6.fits.gz,good,3.0
D22566-75-m-7.gz,7,75,2459650.103401667,        2022-03-11,/home/phys/astronomy/rri38/moa/data/master/dark/D22566-75-m-7.fits.gz,good,3.0
D22566-75-m-8.gz,8,75,2459650.1034016665,        2022-03-11,/home/phys/astronomy/rri38/moa/data/master/dark/D22566-75-m-8.fits.gz,good,3.0
D22566-75-m-9.gz,9,75,2459650.1034016665,        2022-03-11,/home/phys/astronomy/rri38/moa/data/master/dark/D22566-75-m-9.fits.gz,good,3.0
